region_code,region,comuna_code,comuna,zone,step,start,end,active_cases_start,active_cases_end,delta_active_cases,pct_delta_active_cases,current
15,Arica y Parinacota,15101,Arica,Rural,2,2021-06-17,2021-06-24,755,766,11,1.4569536423840956,1
15,Arica y Parinacota,15101,Arica,Urbana,2,2021-06-17,2021-06-24,755,766,11,1.4569536423840956,1
1,Tarapacá,1107,Alto Hospicio,Total,2,2021-05-17,2021-06-24,353,289,-64,-18.130311614730875,1
1,Tarapacá,1402,Camiña,Total,2,2021-05-01,2021-06-24,11,8,-3,-27.27272727272727,1
1,Tarapacá,1101,Iquique,Total,2,2021-05-17,2021-06-24,537,448,-89,-16.573556797020483,1
1,Tarapacá,1405,Pica,Total,2,2021-04-05,2021-06-24,15,25,10,66.66666666666667,1
2,Antofagasta,2201,Calama,Total,2,2021-05-10,2021-06-24,372,379,7,1.8817204301075252,1
2,Antofagasta,2102,Mejillones,Rural,2,2021-06-05,2021-06-24,39,28,-11,-28.205128205128204,1
2,Antofagasta,2102,Mejillones,Urbana,2,2021-06-05,2021-06-24,39,28,-11,-28.205128205128204,1
3,Atacama,3302,Alto del Carmen,Total,2,2021-06-03,2021-06-24,16,19,3,18.75,1
3,Atacama,3102,Caldera,Total,2,2021-06-03,2021-06-24,67,59,-8,-11.940298507462687,1
3,Atacama,3101,Copiapó,Total,2,2021-05-20,2021-06-24,499,589,90,18.036072144288575,1
3,Atacama,3303,Freirina,Total,2,2021-05-01,2021-06-24,19,15,-4,-21.052631578947366,1
3,Atacama,3304,Huasco,Total,2,2021-05-29,2021-06-24,26,31,5,19.23076923076923,1
4,Coquimbo,4102,Coquimbo,Total,2,2021-04-19,2021-06-24,321,520,199,61.99376947040498,1
4,Coquimbo,4104,La Higuera,Total,2,2021-05-27,2021-06-24,24,17,-7,-29.166666666666664,1
4,Coquimbo,4101,La Serena,Total,2,2021-04-19,2021-06-24,396,549,153,38.63636363636365,1
4,Coquimbo,4303,Monte Patria,Total,2,2021-06-10,2021-06-24,83,71,-12,-14.457831325301207,1
4,Coquimbo,4105,Paiguano,Total,2,2021-06-17,2021-06-24,40,49,9,22.500000000000007,1
4,Coquimbo,4305,Río Hurtado,Total,2,2021-06-05,2021-06-24,18,5,-13,-72.22222222222221,1
4,Coquimbo,4106,Vicuña,Total,2,2021-06-10,2021-06-24,111,150,39,35.13513513513513,1
5,Valparaíso,5602,Algarrobo,Total,2,2021-05-13,2021-06-24,28,31,3,10.71428571428572,1
5,Valparaíso,5402,Cabildo,Total,2,2021-06-19,2021-06-24,52,52,0,0.0,1
5,Valparaíso,5702,Catemu,Total,2,2021-06-17,2021-06-24,53,67,14,26.415094339622634,1
5,Valparaíso,5103,Concón,Total,2,2021-06-12,2021-06-24,108,80,-28,-25.92592592592593,1
5,Valparaíso,5503,Hijuelas,Total,2,2021-05-31,2021-06-24,18,31,13,72.22222222222223,1
5,Valparaíso,5504,La Cruz,Total,2,2021-05-13,2021-06-24,51,73,22,43.13725490196079,1
5,Valparaíso,5802,Limache,Total,2,2021-05-20,2021-06-24,108,118,10,9.259259259259256,1
5,Valparaíso,5703,Llaillay,Total,2,2021-06-17,2021-06-24,81,103,22,27.160493827160504,1
5,Valparaíso,5803,Olmué,Total,2,2021-06-21,2021-06-24,57,57,0,0.0,1
5,Valparaíso,5704,Panquehue,Total,2,2021-04-08,2021-06-24,31,22,-9,-29.032258064516125,1
5,Valparaíso,5404,Petorca,Total,2,2021-06-17,2021-06-24,30,20,-10,-33.333333333333336,1
5,Valparaíso,5501,Quillota,Total,2,2021-05-10,2021-06-24,196,197,1,0.5102040816326481,1
