region_code,region,comuna_code,comuna,zone,step,start,end,active_cases_start,active_cases_end,delta_active_cases,pct_delta_active_cases,current
15,Arica y Parinacota,15102,Camarones,Total,3,2020-07-28,2021-03-25,2,0,-2,-100.0,1
15,Arica y Parinacota,15202,General Lagos,Total,3,2020-07-28,2021-03-25,1,0,-1,-100.0,1
15,Arica y Parinacota,15201,Putre,Total,3,2020-07-28,2021-03-25,7,1,-6,-85.71428571428572,1
1,Tarapacá,1402,Camiña,Total,3,2020-07-28,2021-03-25,1,7,6,600.0,1
1,Tarapacá,1403,Colchane,Total,3,2020-07-28,2021-03-25,12,1,-11,-91.66666666666666,1
2,Antofagasta,2302,Maria Elena,Total,3,2021-03-11,2021-03-25,2,6,4,200.0,1
2,Antofagasta,2202,Ollagüe,Total,3,2020-07-28,2021-03-25,5,0,-5,-100.0,1
2,Antofagasta,2103,Sierra Gorda,Total,3,2020-07-28,2021-03-25,10,0,-10,-100.0,1
3,Atacama,3302,Alto del Carmen,Total,3,2021-01-14,2021-03-25,1,14,13,1300.0,1
4,Coquimbo,4202,Canela,Total,3,2021-03-15,2021-03-25,5,11,6,120.00000000000001,1
4,Coquimbo,4305,Río Hurtado,Total,3,2020-12-12,2021-03-25,0,2,2,100.0,1
5,Valparaíso,5704,Panquehue,Total,3,2020-07-28,2021-03-25,26,4,-22,-84.61538461538461,1
5,Valparaíso,5403,Papudo,Total,3,2021-03-11,2021-03-25,5,12,7,140.0,1
5,Valparaíso,5705,Putaendo,Total,3,2020-07-28,2021-03-25,18,29,11,61.111111111111114,1
5,Valparaíso,5303,Rinconada,Total,3,2021-03-18,2021-03-25,8,12,4,50.0,1
5,Valparaíso,5304,San Esteban,Total,3,2020-07-28,2021-03-25,17,17,0,0.0,1
5,Valparaíso,5706,Santa Maria,Total,3,2020-07-28,2021-03-25,17,32,15,88.23529411764706,1
5,Valparaíso,5405,Zapallar,Total,3,2021-02-08,2021-03-25,2,12,10,500.0,1
6,O’Higgins,6102,Codegua,Total,3,2020-07-28,2021-03-25,30,35,5,16.666666666666675,1
6,O’Higgins,6103,Coinco,Total,3,2021-03-22,2021-03-25,6,6,0,0.0,1
6,O’Higgins,6204,Marchihue,Total,3,2021-03-04,2021-03-25,5,6,1,19.999999999999996,1
6,O’Higgins,6110,Mostazal,Total,3,2021-02-25,2021-03-25,23,36,13,56.52173913043479,1
6,O’Higgins,6307,Peralillo,Total,3,2021-03-22,2021-03-25,20,20,0,0.0,1
6,O’Higgins,6309,Pumanque,Total,3,2021-02-22,2021-03-25,3,1,-2,-66.66666666666667,1
7,Maule,7103,Curepto,Total,3,2021-03-04,2021-03-25,6,18,12,200.0,1
7,Maule,7104,Empedrado,Total,3,2021-03-11,2021-03-25,1,6,5,500.0,1
7,Maule,7302,Hualañé,Total,3,2021-03-11,2021-03-25,7,19,12,171.42857142857144,1
7,Maule,7405,Retiro,Total,3,2021-03-22,2021-03-25,20,20,0,0.0,1
7,Maule,7108,Río Claro,Total,3,2021-03-18,2021-03-25,20,24,4,19.999999999999996,1
7,Maule,7307,Sagrada Familia,Total,3,2021-02-22,2021-03-25,14,18,4,28.57142857142858,1
16,Ñuble,16102,Bulnes,Total,3,2021-03-22,2021-03-25,46,46,0,0.0,1
16,Ñuble,16202,Cobquecura,Total,3,2020-07-28,2021-03-25,1,9,8,800.0,1
16,Ñuble,16104,El Carmen,Total,3,2020-07-28,2021-03-25,7,24,17,242.85714285714283,1
16,Ñuble,16105,Pemuco,Total,3,2020-07-28,2021-03-25,2,4,2,100.0,1
16,Ñuble,16205,Portezuelo,Total,3,2021-03-11,2021-03-25,4,6,2,50.0,1
16,Ñuble,16201,Quirihue,Total,3,2021-03-01,2021-03-25,4,25,21,525.0,1
8,Biobío,8314,Alto Biobío,Total,3,2020-07-28,2021-03-25,3,0,-3,-100.0,1
8,Biobío,8302,Antuco,Total,3,2020-07-28,2021-03-25,5,9,4,80.0,1
8,Biobío,8306,Nacimiento,Total,3,2021-03-08,2021-03-25,61,57,-4,-6.5573770491803245,1
8,Biobío,8308,Quilaco,Total,3,2020-07-28,2021-03-25,3,4,1,33.33333333333333,1
10,Los Lagos,10401,Chaitén,Total,3,2021-03-11,2021-03-25,2,2,0,0.0,1
10,Los Lagos,10204,Curaco de Vélez,Urbana,3,2021-03-08,2021-03-25,8,8,0,0.0,1
10,Los Lagos,10204,Curaco de Vélez,Rural,3,2021-03-08,2021-03-25,8,8,0,0.0,1
10,Los Lagos,10208,Quellón,Total,3,2021-03-04,2021-03-25,16,39,23,143.75,1
11,Aysén,11101,Coyhaique,Rural,3,2021-03-15,2021-03-25,68,84,16,23.529411764705888,1
11,Aysén,11101,Coyhaique,Urbana,3,2021-03-15,2021-03-25,68,84,16,23.529411764705888,1
12,Magallanes,12202,Antártica,Total,3,2020-07-28,2021-03-25,0,0,0,-100.0,1
12,Magallanes,12401,Natales,Total,3,2021-03-18,2021-03-25,44,33,-11,-25.0,1
12,Magallanes,12101,Punta Arenas,Total,3,2021-03-18,2021-03-25,288,225,-63,-21.875,1
