region_code,region,comuna_code,comuna,zone,step,start,end,active_cases_start,active_cases_end,delta_active_cases,pct_delta_active_cases,current
15,Arica y Parinacota,15101,Arica,Rural,2,2021-06-17,2021-06-24,755,766,11,1.4569536423840956,1
15,Arica y Parinacota,15101,Arica,Urbana,2,2021-06-17,2021-06-24,755,766,11,1.4569536423840956,1
15,Arica y Parinacota,15102,Camarones,Total,4,2021-06-14,2021-06-24,1,1,0,0.0,1
15,Arica y Parinacota,15202,General Lagos,Total,4,2021-06-14,2021-06-24,0,0,0,-100.0,1
15,Arica y Parinacota,15201,Putre,Total,3,2020-07-28,2021-06-24,7,10,3,42.85714285714286,1
1,Tarapacá,1107,Alto Hospicio,Total,2,2021-05-17,2021-06-24,353,289,-64,-18.130311614730875,1
1,Tarapacá,1402,Camiña,Total,2,2021-05-01,2021-06-24,11,8,-3,-27.27272727272727,1
1,Tarapacá,1403,Colchane,Total,4,2021-05-17,2021-06-24,0,0,0,-100.0,1
1,Tarapacá,1404,Huara,Total,3,2021-05-06,2021-06-24,4,10,6,150.0,1
1,Tarapacá,1101,Iquique,Total,2,2021-05-17,2021-06-24,537,448,-89,-16.573556797020483,1
1,Tarapacá,1405,Pica,Total,2,2021-04-05,2021-06-24,15,25,10,66.66666666666667,1
1,Tarapacá,1401,Pozo Almonte,Rural,3,2021-05-20,2021-06-24,16,50,34,212.5,1
1,Tarapacá,1401,Pozo Almonte,Urbana,3,2021-05-20,2021-06-24,16,50,34,212.5,1
2,Antofagasta,2101,Antofagasta,Rural,3,2021-05-24,2021-06-24,549,678,129,23.497267759562845,1
2,Antofagasta,2101,Antofagasta,Urbana,3,2021-05-24,2021-06-24,549,678,129,23.497267759562845,1
2,Antofagasta,2201,Calama,Total,2,2021-05-10,2021-06-24,372,379,7,1.8817204301075252,1
2,Antofagasta,2302,María Elena,Total,3,2021-06-10,2021-06-24,7,25,18,257.14285714285717,1
2,Antofagasta,2102,Mejillones,Rural,2,2021-06-05,2021-06-24,39,28,-11,-28.205128205128204,1
2,Antofagasta,2102,Mejillones,Urbana,2,2021-06-05,2021-06-24,39,28,-11,-28.205128205128204,1
2,Antofagasta,2202,Ollagüe,Total,4,2021-05-10,2021-06-24,0,0,0,-100.0,1
2,Antofagasta,2203,San Pedro de Atacama,Total,3,2021-04-01,2021-06-24,10,28,18,179.99999999999997,1
2,Antofagasta,2103,Sierra Gorda,Total,3,2021-05-31,2021-06-24,2,4,2,100.0,1
2,Antofagasta,2104,Taltal,Total,3,2021-05-24,2021-06-24,6,13,7,116.66666666666666,1
2,Antofagasta,2301,Tocopilla,Rural,3,2021-06-17,2021-06-24,45,44,-1,-2.2222222222222254,1
2,Antofagasta,2301,Tocopilla,Urbana,3,2021-06-17,2021-06-24,45,44,-1,-2.2222222222222254,1
3,Atacama,3302,Alto del Carmen,Total,2,2021-06-03,2021-06-24,16,19,3,18.75,1
3,Atacama,3102,Caldera,Total,2,2021-06-03,2021-06-24,67,59,-8,-11.940298507462687,1
3,Atacama,3201,Chañaral,Total,3,2021-06-10,2021-06-24,14,19,5,35.71428571428572,1
3,Atacama,3101,Copiapó,Total,2,2021-05-20,2021-06-24,499,589,90,18.036072144288575,1
3,Atacama,3202,Diego de Almagro,Total,1,2021-05-29,2021-06-24,56,34,-22,-39.28571428571429,1
3,Atacama,3303,Freirina,Total,2,2021-05-01,2021-06-24,19,15,-4,-21.052631578947366,1
3,Atacama,3304,Huasco,Total,2,2021-05-29,2021-06-24,26,31,5,19.23076923076923,1
3,Atacama,3103,Tierra Amarilla,Total,1,2021-06-03,2021-06-24,82,45,-37,-45.12195121951219,1
