region_code,region,comuna_code,comuna,zone,step,start,end,active_cases_start,active_cases_end,delta_active_cases,pct_delta_active_cases,current
15,Arica y Parinacota,15101,Arica,Rural,2,2021-03-08,2021-03-25,570,864,294,51.578947368421055,1
15,Arica y Parinacota,15101,Arica,Urbana,2,2021-03-08,2021-03-25,570,864,294,51.578947368421055,1
15,Arica y Parinacota,15102,Camarones,Total,3,2020-07-28,2021-03-25,2,0,-2,-100.0,1
15,Arica y Parinacota,15202,General Lagos,Total,3,2020-07-28,2021-03-25,1,0,-1,-100.0,1
15,Arica y Parinacota,15201,Putre,Total,3,2020-07-28,2021-03-25,7,1,-6,-85.71428571428572,1
1,Tarapacá,1107,Alto Hospicio,Total,1,2021-03-20,2021-03-25,288,244,-44,-15.277777777777779,1
1,Tarapacá,1402,Camiña,Total,3,2020-07-28,2021-03-25,1,7,6,600.0,1
1,Tarapacá,1403,Colchane,Total,3,2020-07-28,2021-03-25,12,1,-11,-91.66666666666666,1
1,Tarapacá,1404,Huara,Total,2,2021-03-11,2021-03-25,3,5,2,66.66666666666667,1
1,Tarapacá,1101,Iquique,Total,1,2021-03-20,2021-03-25,763,755,-8,-1.0484927916120546,1
1,Tarapacá,1405,Pica,Total,1,2021-03-04,2021-03-25,18,25,7,38.888888888888886,1
1,Tarapacá,1401,Pozo Almonte,Rural,2,2021-02-15,2021-03-25,47,17,-30,-63.829787234042556,1
1,Tarapacá,1401,Pozo Almonte,Urbana,2,2021-02-25,2021-03-25,33,17,-16,-48.484848484848484,1
2,Antofagasta,2101,Antofagasta,Rural,2,2021-02-16,2021-03-25,1100,1008,-92,-8.363636363636362,1
2,Antofagasta,2101,Antofagasta,Urbana,2,2021-02-16,2021-03-25,1100,1008,-92,-8.363636363636362,1
2,Antofagasta,2201,Calama,Total,2,2021-01-14,2021-03-25,172,350,178,103.48837209302326,1
2,Antofagasta,2302,Maria Elena,Total,3,2021-03-11,2021-03-25,2,6,4,200.0,1
2,Antofagasta,2102,Mejillones,Rural,2,2021-03-01,2021-03-25,64,24,-40,-62.5,1
2,Antofagasta,2102,Mejillones,Urbana,2,2021-03-01,2021-03-25,64,24,-40,-62.5,1
2,Antofagasta,2202,Ollagüe,Total,3,2020-07-28,2021-03-25,5,0,-5,-100.0,1
2,Antofagasta,2203,San Pedro de Atacama,Total,2,2021-02-06,2021-03-25,68,11,-57,-83.82352941176471,1
2,Antofagasta,2103,Sierra Gorda,Total,3,2020-07-28,2021-03-25,10,0,-10,-100.0,1
2,Antofagasta,2104,Taltal,Total,1,2021-03-18,2021-03-25,65,61,-4,-6.153846153846154,1
2,Antofagasta,2301,Tocopilla,Rural,2,2021-03-11,2021-03-25,75,72,-3,-4.0000000000000036,1
2,Antofagasta,2301,Tocopilla,Urbana,2,2021-03-11,2021-03-25,75,72,-3,-4.0000000000000036,1
3,Atacama,3302,Alto del Carmen,Total,3,2021-01-14,2021-03-25,1,14,13,1300.0,1
3,Atacama,3102,Caldera,Total,2,2021-03-04,2021-03-25,48,65,17,35.41666666666667,1
3,Atacama,3201,Chañaral,Total,1,2021-03-13,2021-03-25,41,27,-14,-34.14634146341463,1
3,Atacama,3101,Copiapó,Total,2,2021-02-16,2021-03-25,227,293,66,29.074889867841414,1
3,Atacama,3202,Diego de Almagro,Total,2,2021-03-20,2021-03-25,33,42,9,27.27272727272727,1
3,Atacama,3303,Freirina,Total,2,2021-02-04,2021-03-25,27,21,-6,-22.22222222222222,1
3,Atacama,3304,Huasco,Total,1,2021-03-18,2021-03-25,38,30,-8,-21.052631578947366,1
3,Atacama,3103,Tierra Amarilla,Total,2,2021-03-01,2021-03-25,14,10,-4,-28.57142857142857,1
3,Atacama,3301,Vallenar,Total,2,2021-03-20,2021-03-25,118,121,3,2.5423728813559254,1
4,Coquimbo,4103,Andacollo,Total,2,2021-02-13,2021-03-25,21,11,-10,-47.61904761904761,1
4,Coquimbo,4202,Canela,Total,3,2021-03-15,2021-03-25,5,11,6,120.00000000000001,1
4,Coquimbo,4302,Combarbalá,Total,2,2021-03-20,2021-03-25,36,39,3,8.333333333333325,1
4,Coquimbo,4102,Coquimbo,Total,1,2021-03-11,2021-03-25,420,407,-13,-3.0952380952380953,1
4,Coquimbo,4201,Illapel,Total,2,2021-02-25,2021-03-25,34,97,63,185.29411764705884,1
4,Coquimbo,4104,La Higuera,Total,2,2021-03-13,2021-03-25,12,18,6,50.0,1
4,Coquimbo,4101,La Serena,Total,1,2021-03-11,2021-03-25,505,534,29,5.742574257425748,1
4,Coquimbo,4203,Los Vilos,Total,2,2021-01-28,2021-03-25,48,82,34,70.83333333333333,1
4,Coquimbo,4303,Monte Patria,Total,1,2021-03-18,2021-03-25,88,58,-30,-34.09090909090909,1
4,Coquimbo,4301,Ovalle,Total,2,2021-03-06,2021-03-25,183,192,9,4.918032786885251,1
4,Coquimbo,4105,Paiguano,Total,2,2021-03-06,2021-03-25,12,9,-3,-25.0,1
4,Coquimbo,4304,Punitaqui,Total,2,2021-03-13,2021-03-25,19,15,-4,-21.052631578947366,1
4,Coquimbo,4305,Río Hurtado,Total,3,2020-12-12,2021-03-25,0,2,2,100.0,1
4,Coquimbo,4204,Salamanca,Total,1,2021-03-11,2021-03-25,69,42,-27,-39.13043478260869,1
4,Coquimbo,4106,Vicuña,Total,1,2021-03-11,2021-03-25,61,60,-1,-1.6393442622950838,1
5,Valparaíso,5602,Algarrobo,Total,2,2021-01-28,2021-03-25,34,16,-18,-52.94117647058824,1
5,Valparaíso,5402,Cabildo,Total,2,2021-03-11,2021-03-25,42,69,27,64.28571428571428,1
5,Valparaíso,5502,Calera,Total,2,2021-03-13,2021-03-25,83,122,39,46.987951807228924,1
5,Valparaíso,5302,Calle Larga,Total,2,2021-03-11,2021-03-25,28,35,7,25.0,1
5,Valparaíso,5603,Cartagena,Total,2,2021-02-04,2021-03-25,40,64,24,60.00000000000001,1
5,Valparaíso,5102,Casablanca,Total,2,2021-03-06,2021-03-25,51,48,-3,-5.882352941176472,1
5,Valparaíso,5702,Catemu,Total,1,2021-03-13,2021-03-25,37,19,-18,-48.64864864864865,1
5,Valparaíso,5103,Concón,Total,1,2021-03-20,2021-03-25,107,95,-12,-11.214953271028039,1
5,Valparaíso,5604,El Quisco,Total,1,2021-03-13,2021-03-25,44,27,-17,-38.63636363636363,1
5,Valparaíso,5605,El Tabo,Total,2,2021-02-18,2021-03-25,25,26,1,4.0000000000000036,1
5,Valparaíso,5503,Hijuelas,Total,2,2021-03-06,2021-03-25,35,23,-12,-34.285714285714285,1
5,Valparaíso,5201,Isla de Pascua,Total,4,2021-03-04,2021-03-25,0,4,4,300.0,1
5,Valparaíso,5104,Juan Fernández,Total,4,2020-08-24,2021-03-25,0,0,0,-100.0,1
5,Valparaíso,5504,La Cruz,Total,2,2021-03-18,2021-03-25,45,58,13,28.888888888888896,1
5,Valparaíso,5401,La Ligua,Total,2,2021-02-11,2021-03-25,55,65,10,18.181818181818187,1
5,Valparaíso,5802,Limache,Total,2,2021-03-18,2021-03-25,90,129,39,43.333333333333336,1
5,Valparaíso,5703,Llaillay,Total,2,2021-03-13,2021-03-25,48,61,13,27.083333333333325,1
5,Valparaíso,5301,Los Andes,Total,2,2021-03-04,2021-03-25,131,99,-32,-24.427480916030532,1
5,Valparaíso,5506,Nogales,Total,1,2021-03-20,2021-03-25,53,66,13,24.52830188679245,1
5,Valparaíso,5803,Olmué,Total,2,2021-03-20,2021-03-25,28,35,7,25.0,1
5,Valparaíso,5704,Panquehue,Total,3,2020-07-28,2021-03-25,26,4,-22,-84.61538461538461,1
5,Valparaíso,5403,Papudo,Total,3,2021-03-11,2021-03-25,5,12,7,140.0,1
5,Valparaíso,5404,Petorca,Total,2,2021-03-06,2021-03-25,26,16,-10,-38.46153846153846,1
