region_code,region,comuna_code,comuna,zone,step,start,end,active_cases_start,active_cases_end,delta_active_cases,pct_delta_active_cases,current
15,Arica y Parinacota,15101,Arica,Rural,3,2020-07-28,2021-01-14,984,365,-619,-62.90650406504066,0
15,Arica y Parinacota,15101,Arica,Rural,2,2021-01-14,2021-02-04,365,687,322,88.21917808219177,0
15,Arica y Parinacota,15101,Arica,Rural,1,2021-02-04,2021-03-08,687,570,-117,-17.030567685589514,0
15,Arica y Parinacota,15101,Arica,Rural,2,2021-03-08,2021-04-29,570,987,417,73.15789473684211,0
15,Arica y Parinacota,15101,Arica,Rural,1,2021-04-29,2021-06-17,987,755,-232,-23.50557244174265,0
15,Arica y Parinacota,15101,Arica,Rural,2,2021-06-17,2021-06-24,755,766,11,1.4569536423840956,1
15,Arica y Parinacota,15101,Arica,Urbana,1,2020-07-28,2020-11-09,984,259,-725,-73.6788617886179,0
15,Arica y Parinacota,15101,Arica,Urbana,2,2020-11-09,2020-11-23,259,146,-113,-43.62934362934363,0
15,Arica y Parinacota,15101,Arica,Urbana,3,2020-11-23,2021-01-14,146,365,219,150.0,0
15,Arica y Parinacota,15101,Arica,Urbana,2,2021-01-14,2021-02-04,365,687,322,88.21917808219177,0
15,Arica y Parinacota,15101,Arica,Urbana,1,2021-02-04,2021-03-08,687,570,-117,-17.030567685589514,0
15,Arica y Parinacota,15101,Arica,Urbana,2,2021-03-08,2021-04-29,570,987,417,73.15789473684211,0
15,Arica y Parinacota,15101,Arica,Urbana,1,2021-04-29,2021-06-17,987,755,-232,-23.50557244174265,0
15,Arica y Parinacota,15101,Arica,Urbana,2,2021-06-17,2021-06-24,755,766,11,1.4569536423840956,1
15,Arica y Parinacota,15102,Camarones,Total,3,2020-07-28,2021-06-14,2,1,-1,-50.0,0
15,Arica y Parinacota,15102,Camarones,Total,4,2021-06-14,2021-06-24,1,1,0,0.0,1
15,Arica y Parinacota,15202,General Lagos,Total,3,2020-07-28,2021-06-14,1,0,-1,-100.0,0
15,Arica y Parinacota,15202,General Lagos,Total,4,2021-06-14,2021-06-24,0,0,0,-100.0,1
15,Arica y Parinacota,15201,Putre,Total,3,2020-07-28,2021-06-24,7,10,3,42.85714285714286,1
1,Tarapacá,1107,Alto Hospicio,Total,1,2020-07-28,2020-10-03,128,96,-32,-25.0,0
1,Tarapacá,1107,Alto Hospicio,Total,2,2020-10-03,2020-11-23,96,48,-48,-50.0,0
1,Tarapacá,1107,Alto Hospicio,Total,3,2020-11-23,2021-01-04,48,261,213,443.75,0
1,Tarapacá,1107,Alto Hospicio,Total,1,2021-01-04,2021-02-16,261,284,23,8.812260536398476,0
1,Tarapacá,1107,Alto Hospicio,Total,2,2021-02-16,2021-03-20,284,288,4,1.4084507042253502,0
1,Tarapacá,1107,Alto Hospicio,Total,1,2021-03-20,2021-05-17,288,353,65,22.569444444444443,0
1,Tarapacá,1107,Alto Hospicio,Total,2,2021-05-17,2021-06-24,353,289,-64,-18.130311614730875,1
1,Tarapacá,1402,Camiña,Total,3,2020-07-28,2021-05-01,1,11,10,1000.0,0
1,Tarapacá,1402,Camiña,Total,2,2021-05-01,2021-06-24,11,8,-3,-27.27272727272727,1
1,Tarapacá,1403,Colchane,Total,3,2020-07-28,2021-05-17,12,0,-12,-100.0,0
1,Tarapacá,1403,Colchane,Total,4,2021-05-17,2021-06-24,0,0,0,-100.0,1
